pd_id,producer_name,first_name,last_name,nationality,gender,DOB,phone
1,C Hundreds,Craig ,Hendrix,American,M,1980-12-12,+14109559707
2,Hector Castillo,Hector ,Castillo,Venezuelan,M,1976-04-17,+6117723478
3,DPR REM,Scott,Kim,Korean,M,1992-02-21,+6879112199
4,Catherine Marks,Catherine ,Marks,Australian,F,1989-12-01,+7891020045
5,Jay Som,Melina ,Duterte,American,F,1994-03-25,+14105467891
6,Tudz,Sarah ,Tudzin,American,F,1997-04-13,+5551234567
7,Wild Nothing,Jack ,Tatum,American,M,1988-10-06,+5559876543
8,Patrick Hyland,Patrick ,Hyland,American,M,1990-12-23,+5555555555
9,Aaron Dessner,Aaron ,Dessner,American,M,1976-04-23,+9113458901
10,Blake Slatkin,Blake ,Slatkin,American,M,1997-06-10,+4961312460
11,Magnus Skylstad,Magnus Aserud ,Skylstad,Norwegian,M,1983-06-17,+1236549870
12,BloodPop,Michael,Tucker,American,M,1990-08-15,+1012343456
13,Cardopusher,Luis,Valdeon,Venezuelan,M,1981-02-27,+12021235432
14,Rudy Pagliuca,Rodolfo ,Pagliuca,Venezuelan,M,1971-09-10,+4143678861
15,Max Martin,Karl,Martin,Swedish,M,1971-02-26,+3678861414
16,Danny L Harle,Daniel,Eisner,British,M,1990-11-21,+9001236745
17,Nova Blue,Manon,Van Dijk,Dutch,F,2002-12-22,+8013426785
18,Pink Slip,Kyle,Buckley,American,M,2001-04-08,+9019989796
19,George Daniel,George,Daniel,Belgian,M,1990-03-23,+32482886728
20,Digital Farm Animals,Nick,Gale,British,M,1989-07-02,+441824392053
21,Jeff Bhasker,Jeff,Bhasker,American,M,1974-04-03,12818816777
23,Jack Antonoff,Jack,Antonoff,American,M,1984-03-31,+14488466661
24,Cityfall,Laurie,Blundell,British,F,1996-10-25,+448439327853
25,E Tribe,Youngdeuk,Kim,Korean,M,1985-05-30,+825313581805
26,Christine and the Queens,Heloise,Letissier,French,M,1988-01-05,+33937934358
27,A G Cook,Alexander,Cook,British,M,1990-08-23,+445669406905
28,Tiesto,Tijs,Verwest,Dutch,M,1969-01-17,+31387230884
29,Jax Jones,Timucin,Lam,British,M,1987-07-25,+445600201689
